상세보기 페이지 URL,상품 ID,상세보기 innerHtml URL, 썸네일 URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LO1298872034?sitmNo=LO1298872034_1298872036&mall_no=1&dp_infw_cd=CASec10200001,LO1298872034,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F98%2F87%2F20%2F34%2FDSCRP_LO1298872034,https://contents.lotteon.com/itemimage/LO/12/98/87/20/34/_1/29/88/72/03/6/LO1298872034_1298872036_1.jpg/dims/resizemc/360x360,마운틴 벨리,[1+1] 마운틴벨리 남성 간절기 기본 신사바지/트레이닝 팬츠 택1,"29,290원"
https://www.lotteon.com/p/product/LO1360026465?sitmNo=LO1360026465_1360026470&mall_no=1&dp_infw_cd=CASec10200001,LO1360026465,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F60%2F02%2F64%2F65%2FDSCRP_LO1360026465,https://contents.lotteon.com/itemimage/LO/13/60/02/64/65/_1/36/00/26/47/0/LO1360026465_1360026470_1.jpg/dims/resizemc/360x360,스파오,[온세상쿠폰]덤블 후드 집업 SPJAA4TC21,"56,310원"
https://www.lotteon.com/p/product/LO1366594598?sitmNo=LO1366594598_1366594599&mall_no=1&dp_infw_cd=CASec10200001,LO1366594598,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F66%2F59%2F45%2F98%2FDSCRP_LO1366594598,https://contents.lotteon.com/itemimage/LO/13/66/59/45/98/_1/36/65/94/59/9/LO1366594598_1366594599_1.jpg/dims/resizemc/360x360,페르지노몬티,[온세상쿠폰] 남자 BEST 슬랙스 모음전(FMPJ_07),"11,520원"
https://www.lotteon.com/p/product/LO1299140049?sitmNo=LO1299140049_1299140050&mall_no=1&dp_infw_cd=CASec10200001,LO1299140049,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F99%2F14%2F00%2F49%2FDSCRP_LO1299140049,https://contents.lotteon.com/itemimage/LO/12/99/14/00/49/_1/29/91/40/05/0/LO1299140049_1299140050_1.jpg/dims/resizemc/360x360,르젠옴므,르젠 베이직 잔스트라이프 오버핏 셔츠(LNSH1790HS),"12,420원"
https://www.lotteon.com/p/product/LO1349981300?sitmNo=LO1349981300_1349981301&mall_no=1&dp_infw_cd=CASec10200001,LO1349981300,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F98%2F13%2F00%2FDSCRP_LO1349981300,https://contents.lotteon.com/itemimage/_v194451/LO/13/49/98/13/00/_1/34/99/81/30/1/LO1349981300_1349981301_2.jpg/dims/resizemc/360x360,,[온세상쿠폰]TS 테리 쮸리 후드집업,"19,900원"
https://www.lotteon.com/p/product/LO1378090143?sitmNo=LO1378090143_1378090144&mall_no=1&dp_infw_cd=CASec10200001,LO1378090143,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F78%2F09%2F01%2F43%2FDSCRP_LO1378090143,https://contents.lotteon.com/itemimage/LO/13/78/09/01/43/_1/37/80/90/14/4/LO1378090143_1378090144_1.jpg/dims/resizemc/360x360,바쏘옴므,[온세상쿠폰]균일가 트렌치코트 3종 택1,"139,920원"
https://www.lotteon.com/p/product/LO1367689182?sitmNo=LO1367689182_1367689183&mall_no=1&dp_infw_cd=CASec10200001,LO1367689182,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F67%2F68%2F91%2F82%2FDSCRP_LO1367689182,https://contents.lotteon.com/itemimage/LO/13/67/68/91/82/_1/36/76/89/18/3/LO1367689182_1367689183_1.jpg/dims/resizemc/360x360,르젠옴므,르젠 트랜드 남성 면바지 슬랙스 모음전 택1,"14,220원"
https://www.lotteon.com/p/product/LO1235799153?sitmNo=LO1235799153_1235799155&mall_no=1&dp_infw_cd=CASec10200001,LO1235799153,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F35%2F79%2F91%2F53%2FDSCRP_LO1235799153,https://contents.lotteon.com/itemimage/LO/12/35/79/91/53/_1/23/57/99/15/5/LO1235799153_1235799155_1.jpg/dims/resizemc/360x360,,[온세상쿠폰]FI 시그니처 2단 쭈리 맨투맨,"20,900원"
https://www.lotteon.com/p/product/LO1315624372?sitmNo=LO1315624372_1315624373&mall_no=1&dp_infw_cd=CASec10200001,LO1315624372,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F15%2F62%2F43%2F72%2FDSCRP_LO1315624372,https://contents.lotteon.com/itemimage/_v105208/LO/13/15/62/43/72/_1/31/56/24/37/3/LO1315624372_1315624373_1.jpg/dims/resizemc/360x360,라코스테라이브,남성 솔리드 크루넥 스웨터 AH1220-20C_5VU,"179,550원"
https://www.lotteon.com/p/product/LO1349895859?sitmNo=LO1349895859_1349895860&mall_no=1&dp_infw_cd=CASec10200001,LO1349895859,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F49%2F89%2F58%2F59%2FDSCRP_LO1349895859,https://contents.lotteon.com/itemimage/LO/13/49/89/58/59/_1/34/98/95/86/0/LO1349895859_1349895860_1.jpg/dims/resizemc/360x360,지오투,기하학 라인 울니트 베스트_AXWAW19433GYX,"37,050원"
